chunk_text,frame_name
"We know, of course, that without a U-turn from the UK Government the electrification will go only as far as Cardiff. The European Commission thinks that electrification to Swansea is important as part of Europe-wide rail and transport links, but the UK Government do not, it seems. In a nutshell, here is one reason why my party prefers full member status within the European Union to the present constitutional position. While the EU shows interest in cross-European co-operation and

investment, UK policy in recent decades has been increasingly to concentrate on promoting one part of the British state down here in London.",Conflict
"I certainly would, as I said earlier.

Angela Merkel is quoted in The Wall Street Journala few days ago as saying:

“As Chancellor of Germany, I should and sometimes must take risks but I cannot embark on an adventure.”

I cannot think of any more dangerous adventure than moving away from the rule of law and inviting the tendency to coercion, which is increasingly evident in German policy making. Indeed, I believe that new rules of law are being asserted to break the rule of law. I am sorry to say that in Germany they seem to believe in government by rule. We believe in government by consent.

The process will not work. We are now in the period of a phoney war. Those who have seen the play “Three Days in May”, about 1940, may well wonder whether it is now obvious that, if we were to acquiesce in imposing the new and unacceptable rules, and in using EU institutions, that would become a new process of appeasement. Fortunately for us, in those dark days, Churchill refused to accept Halifax’s advice at the end of that fateful month.",Moral Value
"There is a body of opinion in the EU that wants to make this country submit to the EU deficit procedure and we have, unfortunately, entered into some commitments on that. We must keep out of those commitments because they run completely counter to the principles of democracy both in the individual member states and in the EU. Under article 7—let us remember that this is not an EU treaty and is outside the EU—when the Commission is of the opinion that a country is in breach of the deficit procedure, it brings the matter before the other member states and unless there is a qualified majority vote against taking the decision that the commission wants to take, the matter must be treated as a breach and the offending country will be hauled before the European Court of Justice. This is a very significant procedural development.",Moral Value
"I completely disagree with my right hon. and learned Friend the Member for Kensington (Sir Malcolm Rifkind). With the chaos in Europe, there has never been a better time for other EU members to mind their business, not ours, and now is the right time to try to have a debate with them about which powers we would like to bring back, before we have any form of referendum.",Conflict
"For people who want to leave the European Union—that is a perfectly honourable, respectable political tradition and Members on both sides of the House, probably even Liberal Democrats, have held that position—campaigning for an in/out referendum is a perfectly sensible thing to do. It is just not my view or the Government’s policy, and I do not think it is the hon. Gentleman’s, either.",None
"I am happy to do so, Mr Speaker. I will substitute the word “unconvincing”.

I hope that the hon. Member for Rochester and Strood (Mark Reckless) will concede that I was persuaded by the arguments advanced in this place in favour of referendums. I am now urging the Deputy Prime Minister to do the same.

As I was saying, the fact that the Front Benches may agree on this measure does not trump the need for the British people to decide. Indeed, it strengthens the imperative for the British people to have the final say.",Moral Value
"In our conclusions, having thanked the Minister for inviting us to comment, we express our regret at the lack of time given to us to do so. Indeed, our report was only published today, so for practical purposes we have all been put under a great deal of time constraint. Having said that, the real question seems to be: by how much can we reduce the amount of law that is leading to the excessive work load and to more judges, which in turn means increased costs? What practical impact will this have on litigants? I trust that he will not encourage the

idea of personal litigation of the type recommended by the gentleman I quoted earlier. I ask the right hon. Gentleman to answer some of those questions as best he can, difficult though that might be.",Economic
"The debate has touched on the process of ratification in other European Union member states. The majority of member states have approved the decision in accordance with their constitutional requirements. Most member states require parliamentary and then presidential or royal approval. Germany and the Czech Republic remain to complete their constitutional requirements. That is largely an administrative process. Both countries have to gain presidential sign-off for an agreement that has been taken through the appropriate parliamentary processes. Germany is waiting for a ruling by its constitutional court, which is due later this week.

There is a further stage once the national constitutional procedures have been completed, in that each national Government has formally to deposit the instruments of ratification in Rome. Poland and Italy, as well as Germany and the Czech Republic, have yet to deposit those instruments. However, that is just a formality and it is merely a matter of when that happens. Despite the ongoing case before the Irish courts, which was brought by an individual citizen, Ireland has not only completed its national constitutional procedures, but has formally deposited the instruments of ratification.",None
"This is, in its own small way, an historic Bill. It is the first use of the European Union Act 2011, which sought to strike a balance between Liberal Democrat enthusiasm to maximise the benefits of EU membership and Conservative caution that we take not one step without adequate parliamentary scrutiny and, if necessary, legislation, and without the option of a referendum if power were being transferred from the British level to the European level. No such referendum is necessary on this occasion, as this is merely a Bill to ease the passage of the intergovernmental treaty for other members of the European Union. However, the full panoply of parliamentary scrutiny of legislation has been brought to bear even on this small, technical change.",None
"The Government’s commitment to a referendum also weakens the UK’s negotiating position with the rest of the EU. Opposition Members would like meaningful reform of the European Union, but we do not do that by blackmailing our European partners. Although my right hon. Friend the shadow Foreign Secretary has been specific about what kind of EU reform he would like, the same cannot be said of the Prime Minister’s speech last week, which gave very little detail about which powers he wanted to repatriate. Indeed, he did not even mention the word “repatriation”—much to the disgust, I am sure, of his Back Benchers—and he was also unclear about how he would campaign if he was not successful in that negotiation. When the Minister winds up, it would be useful for the rest of the House and the country if he put an end to that obscurity and told us which powers the Conservatives are attempting to bring back. What is their strategy, if they have one, and why are they so sure that the timing, in 2017, chimes with any sort of timing in the European Union? Chancellor Merkel has gone very lukewarm on the possibility of treaty change. It is not clear that we will have any treaty change between now and 2017.",Conflict
