chunk_text,openai_frame_classification
"Secondly, the Lima Group countries have referred Venezuela—the state and not just individuals within in it—to the International Criminal Court, citing some 18,000 extra-judicial killings and many other such instances that they believe create a very strong case against Maduro and his entire regime under the rules of the ICC.",Moral Value
"With the inevitable end nigh for the Prime Minister and our still being in the EU under an extension to an extension, and with burning injustices still unextinguished everywhere, will the Prime Minister tell us, under her premiership, factoring in the two new Ministries she has created, the civil servants from all over redeployed to this exercise and her costly and sometimes incompetent no-deal planning experiments—she now tells us no deal would be a bad thing—how much Brexit has cost the public purse?",Economic
"It is a great pleasure to serve under your chairmanship, Mr Howarth. I do not want to go on for too long, but nine amendments in my name have been selected, though I will not speak to all of them. Amendment 31 relates to the implications of leaving Euratom. I agree very strongly with the concerns expressed by the right hon. Member for Wantage (Mr Vaizey). He also talked about the implications of the decision to leave the European Union for British citizens overseas. I declare an interest as the honorary president of Labour International, which represents the interests of Labour party members who live in other countries, many of whom were able to vote in the referendum. However, those living in the EU for longer than 15 years did not have a vote in the referendum, even though many still have very close connections to this country.",Human Impact
"In our relationship with Europe, when we are in a position of strength and we hold the good cards, do we play the ace of trumps? No, we do not; we play some lesser card that I would know more about if I were a better gambler. That is the error of our European relationship. We talk in this House about repatriating powers, but when we negotiate in Europe, we continue to give them away to allow the European centre to become stronger.",Powerlessness
"The choice is clear. The United Kingdom is on a path to self-destruction. Without a change of course, Brexit will result in our economy being smaller, weaker and poorer. The Bank of England’s Mark Carney said that Brexit had already cost each family £600. That is what has already happened. We know that a hard Brexit will cost each household in Scotland £1,600, pushing struggling families to the brink and, already, poor families into destitution. Without single market and customs union membership, the future relationship can only be a free-trade agreement, introducing barriers to Scottish companies’ ability to trade. That will damage jobs, investment, productivity and earnings, hitting the most disadvantaged in society hardest. As we know, people who choose to live and work in this country, on these islands, are net contributors to our economy. If net migration is reduced by a significant number, we will be poorer economically and fiscally. That would be catastrophic, not just for workers but for our economy.",Economic
"We must therefore use this opportunity to improve the arrangements for nominating the First Minister and Deputy First Minister to reflect the realities of contemporary society in Northern Ireland and to prioritise the stability and sustainability of our political institutions. I believe that it is possible to remove nomination as a constant potential blockage in establishing the Executive. In a situation whereby the largest party eligible to nominate is unwilling to do so, the 1998 Act could be amended to permit the entitlement to be passed to the next largest party, thereby creating the ability for those willing to nominate to do so. Should a party refuse its entitlement, it would be able to do so without exercising an effective veto on the entire Executive.

Secondly, in order to facilitate effective government, including initial steps such as electing a Speaker and, in due course, endorsement of an Executive programme for government and budget, weighted-majority voting free from designations needs to be introduced as a matter of urgency. This should be on a figure of around a two-thirds majority of the whole Assembly.",uneindeutig
"That is right, because my understanding is that the Prime Minister and the Home Secretary did ask to have those measures included, because they understand how important they are, but the EU continues to resist. I think that that is wrong and irresponsible, but if we are going to have an ongoing negotiation on this, we should do that from a position of strength and not by weakening our position, which I am afraid that this deal does.",Conflict
"I am conscious of the need to give the Secretary of State time to speak and the Chair’s beady eye, so I will not. I have taken a number of interventions. I will finish the point, which relates to the last intervention.

The point about the cross-party talks was that we entered into them in good spirit and with clear proposals. The Prime Minister refused to budge on her red lines, and those talks broke down. I listened carefully to the speech made by my hon. Friend the Member for Aberavon, and I listened carefully to him on the radio this morning. The difficulty with the amendment he has tabled is not his intention, but some of the practicalities of it, because he is proposing an amendment for something that does not really exist—a withdrawal agreement plus points to which the Government did not agree.",Conflict
"In Labour-run Wales, we have seen the Government using their money where it is most needed, not to support council tax relief for food superstores, which are making exceptional profits, and not for stamp duty for people buying second homes for their holidays. Instead, we have a £2 billion resilience fund, and the Development Bank of Wales investing in small businesses to secure 141,000 jobs. This is successful devolution, but we do need the tools to do the job, and we only get 2% of the money for rail investment for 5% of the population. We need a high-speed link between Bristol, Cardiff, Swansea and west Wales to help connect the Union. We need the shared prosperity fund to be spent in Wales, for Wales and by Wales. We need the Swansea Bay tidal lagoon that was promised, and we need electrification of the railways. There is much that we need, but we are not getting our fair share and we did not hear anything about that in the Budget.",Economic
"My second point is about trust. Again we are talking about trust, which is at the heart of this argument. The trust that people put in us, as representatives of their will, is that we would honour their vote in that referendum, and all they have seen is people in here trying not to honour it.

It is obvious to all of us that this is an issue that cuts across political colours, as I have said many times in this House, and what is happening is that these shenanigans, these motions, are being tabled by Opposition Members and, unfortunately, Conservative Members who actually want to stop this democratic process. They want to stop Brexit, but they are not honest enough to admit it. If they were so sure of their argument—",Moral Value
"I am grateful to my hon. Friend for his question. He is a passionate campaigner for not only the UK and Wales, but the benefits of leaving the European Union. We want a stronger, fairer, more united and outward-looking Union, and Members on both sides of this House have a role to play in that.",Moral Value
"These statutory instruments do not change the legal status quo, and therefore they safeguard confidence in the maintenance of quality standards. In turn, they ensure confidence in our food and drink industry and in the animal feed sector, and that confidence should be maintained. My party intends to ensure that these valuable industries continue to flourish, and we will oppose any attempt to lower these standards.",Economic
"Thank you, Madam Deputy Speaker. It is a real pleasure to speak in this, my first debate of the new decade, with you in the Chair and on such an important subject—Britain in the world. At a time when global politics seems to offer us so much to fear and as we leave the European Union, I was truly disappointed that the Queen’s Speech did not recognise the opportunities and challenges for my constituency and, indeed, for my region, as well as for the country, particularly given that the deal under which we are leaving the European Union is one of the worst possible.",Conflict
"I have been mildly disobliging about the House of Lords in the past few months—I called them unelected panjandrums. I have had a volte face on their role. It is unacceptable and indefensible that the upper House is unelected. It is the second-largest unelected legislative body in the world after the National People’s Congress of China, and that is unacceptable in a modern, mature democracy. Conservatives who set their face against any discussion of reform do a disservice to their constituents. We need a proper debate and, by the end of this Parliament, we need workable proposals. I await the Strathclyde report and proposals for legislation for the Lords. At the very least, the Lords offends the spirit of the post-war Salisbury convention, and of the Parliament Act 1911, which circumscribed precisely the role of the House of Lords in relation to the House of Commons in the wake of the debacle over the people’s Budget of 1909.",Moral Value
"That is one of the big prizes of Brexit: the freedom and chance to develop and sign new free trade deals around the world outside the EU, and it is our commitment that once we leave the EU we will be able to enjoy that freedom to the fullest.",Powerlessness
"I have been contacted by many of my constituents, who are in a state of dismay, and I want to speak in the remaining couple of minutes about the fishermen and farmers across my constituency and Northern Ireland who will be disadvantaged. Fishermen and fisherwomen in Northern Ireland, Scotland, Wales and parts of England, to a man and woman, will vote to leave the Union, because they are burdened with red tape, bureaucracy and restrictions on fishing. The hon. Member for Ochil and South Perthshire (Ms Ahmed-Sheikh) referred to the common fisheries policy, which should change, as we need regionalisation. We need responsibility back in our own hands. That is a huge issue for fishermen and fisherwomen, and it requires consideration, as it directly affects their livelihood. Normal, hard-working, everyday folk are the backbone of our nation, and they should be given the same democratic rights as farmers and fishermen in England. With Assembly elections around the corner, my hard-working constituents in that sector have enough on their plate.",Human Impact
"My hon. Friend makes an important point. All of us—officials in Whitehall, Members of this House, and indeed, generally as a country—have to get used to our freedom and to enjoying it, and develop the confidence to exercise judgment in all fields as we leave the European Union and become a genuinely self-governing country again, which is what we will do.

I have already had a meeting with the chief executive of the RPA. It has made considerable progress over the past 18 months in improving its performance, but I have tasked him with looking at any changes in process—anything that could be adapted, removed or changed—that would make the application of the scheme easier once we have removed the constant threat and legal jeopardy caused by EU auditors, so we are doing a piece of work on this.",Powerlessness
"I commend my right hon. Friend for her very measured response to the provocation of the calling of a second independence referendum in Scotland: she is not ruling out a referendum in the future, but now is not the right time. Will she also point out that the Scotland Act 2016 reserves all the single market issues to the United Kingdom Government? These are matters that we should share with Scotland in the discussion, but they are matters reserved to the United Kingdom.",Powerlessness
"The House will be aware that hundreds of thousands of pensioners live in countries where there is no uprating. Now that we are facing the EU referendum, and given that 400,000 British pensioners live elsewhere in the EU, will the Minister tell us what will happen to either the partial or the full uprating for British pensioners if we leave the EU?",Human Impact
"Under this Government, debt as a percentage of GDP has continually risen and now stands at 85%. How can that be a sign of a healthy economy, notwithstanding that the Minister has indicated it will start to come down? GDP growth per capita under this Government has not once surpassed the pre-crisis trend of 2.3%. In fact, growth has been revised down for 2016, 2018 and, now, 2019 and 2020. Again, that is hardly the sign of a strong economy.",Economic
"I have a letter from a young constituent, Matthew Terras, who got to vote in the referendum and will be old enough to vote on Europe, but who speaks for the young people in his school. He points out that they feel “discarded” by being excluded from the Europe referendum. The referendum in Scotland has engaged our young people, and the Bill could be a chance for the House to engage young people across the UK. Matthew speaks up on behalf of his whole school, and I commend to the House thinking again about excluding young people from the referendum.",Human Impact
